Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
301,Darius Miller,SF,23,NOP,30,0,363,2.9,7.0,.408,1.3,4.1,.317,1.6,3.0,.533,1.5,1.8,.833,0.6,2.6,3.2,2.1,0.6,0.5,1.0,5.1,8.5
302,Mike Miller,SF,33,MEM,66,4,1361,4.4,9.3,.476,2.2,4.9,.446,2.2,4.4,.509,1.1,1.3,.816,0.7,3.7,4.3,2.6,0.6,0.1,1.5,2.2,12.1
303,Quincy Miller,SF,21,DEN,36,4,462,4.5,11.7,.387,1.1,3.6,.304,3.4,8.1,.423,2.3,3.1,.725,2.1,5.3,7.4,1.1,0.9,1.2,2.6,3.0,12.4
304,Patrick Mills,PG,25,SAS,66,1,1215,7.2,15.5,.464,3.1,7.5,.417,4.1,8.0,.507,1.8,2.1,.871,0.7,3.1,3.9,3.5,1.6,0.2,1.5,2.8,19.3
305,Paul Millsap,PF,28,ATL,58,57,1914,7.0,15.2,.457,1.1,3.1,.365,5.8,12.1,.481,4.3,5.7,.741,2.3,6.7,9.0,3.4,2.0,1.2,2.7,3.1,19.3
306,Tony Mitchell,SF,24,MIL,3,0,10,10.8,18.0,.600,0.0,3.6,.000,10.8,14.4,.750,0.0,0.0,,3.6,0.0,3.6,3.6,3.6,0.0,0.0,0.0,21.6
307,Tony Mitchell,PF,21,DET,15,0,46,2.3,4.7,.500,0.8,0.8,1.000,1.6,3.9,.400,6.3,11.0,.571,7.0,3.9,11.0,0.8,0.8,1.6,1.6,1.6,11.7
308,Nazr Mohammed,C,36,CHI,64,1,480,3.3,8.1,.407,0.0,0.0,,3.3,8.1,.407,1.0,2.0,.519,4.4,6.7,11.1,1.2,0.9,1.7,2.5,5.0,7.7
309,Greg Monroe,PF,23,DET,66,66,2157,6.5,12.9,.505,0.0,0.0,,6.5,12.9,.505,3.3,4.9,.668,3.3,6.9,10.2,2.2,1.2,0.6,2.3,2.6,16.3
310,E'Twaun Moore,SG,24,ORL,64,3,1233,4.7,10.9,.434,1.4,3.9,.364,3.3,7.0,.473,1.1,1.5,.760,0.6,2.5,3.1,2.7,1.5,0.4,1.3,2.6,12.0
311,Darius Morris,PG,23,TOT,27,0,313,4.5,11.0,.406,1.4,4.4,.316,3.1,6.7,.466,2.0,3.0,.654,0.8,2.2,3.0,5.1,1.5,0.0,3.1,3.8,12.3
312,Marcus Morris,SF,24,PHO,66,1,1482,5.9,13.0,.450,2.1,5.2,.394,3.8,7.8,.488,2.5,3.2,.780,1.7,4.7,6.4,1.8,1.5,0.4,2.1,3.2,16.3
313,Markieff Morris,PF,24,PHO,65,0,1691,6.8,14.3,.476,0.6,1.9,.295,6.3,12.5,.503,4.5,5.7,.791,2.5,5.7,8.2,2.4,1.2,0.8,2.6,4.0,18.7
314,Anthony Morrow,SG,28,NOP,60,5,986,5.7,12.7,.447,2.2,5.0,.445,3.4,7.7,.448,1.4,1.8,.780,0.7,2.6,3.3,1.2,1.0,0.3,1.3,2.6,15.0
315,Donatas Motiejunas,PF,23,HOU,46,2,660,4.6,10.6,.431,1.0,3.6,.273,3.6,7.0,.512,2.5,4.0,.616,2.0,6.0,8.0,1.4,0.7,0.8,1.6,5.0,12.6
316,Arnett Moultrie,PF,23,PHI,12,2,187,3.1,7.3,.421,0.0,0.0,,3.1,7.3,.421,0.8,1.0,.800,2.1,4.6,6.7,0.4,1.5,0.8,1.3,4.2,6.9
317,Timofey Mozgov,C,27,DEN,66,14,1341,5.5,10.7,.513,0.0,0.2,.000,5.5,10.4,.524,3.8,5.1,.742,3.4,7.0,10.4,1.2,0.5,2.2,2.5,4.5,14.7
318,Shabazz Muhammad,SG,21,MIN,28,0,212,6.5,15.5,.418,0.2,1.4,.125,6.3,14.1,.446,3.4,5.1,.667,3.1,4.1,7.1,0.7,1.4,0.2,2.5,3.7,16.5
319,Byron Mullens,C,24,TOT,37,0,306,6.0,14.0,.429,2.7,7.3,.371,3.3,6.7,.491,0.9,1.9,.500,1.9,5.6,7.5,1.4,1.2,0.8,2.6,6.2,15.6
320,Erik Murphy,C,23,CHI,23,0,62,1.7,7.5,.231,0.0,1.7,.000,1.7,5.8,.300,0.0,0.0,,1.2,3.5,4.6,1.2,0.0,2.3,1.2,4.1,3.5
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
321,Toure' Murry,SF,24,NYK,43,0,300,5.4,12.2,.441,0.1,0.8,.143,5.3,11.4,.463,2.0,3.6,.567,1.4,3.1,4.6,4.8,1.8,0.1,3.2,4.7,13.0
322,Mike Muscala,C,22,ATL,5,0,53,4.1,11.5,.353,0.0,0.7,.000,4.1,10.9,.375,0.0,0.0,,3.4,6.1,9.5,0.7,1.4,2.0,1.4,8.2,8.2
323,Hamady N'Diaye,C,27,SAC,14,0,74,1.5,4.4,.333,0.0,0.0,,1.5,4.4,.333,0.0,0.5,.000,2.4,6.3,8.8,1.5,0.0,1.9,1.5,7.3,2.9
324,Steve Nash,PG,39,LAL,10,10,225,4.3,12.0,.360,1.0,3.0,.316,3.4,9.0,.375,2.6,2.9,.889,0.3,2.4,2.7,7.5,0.5,0.2,3.0,2.2,12.2
325,Gary Neal,SG,29,TOT,39,3,835,6.4,15.5,.411,2.4,6.1,.397,4.0,9.4,.420,3.0,3.4,.873,0.4,2.4,2.8,2.7,0.5,0.0,2.3,2.2,18.2
326,Nemanja Nedovic,SG,22,GSW,22,0,139,2.1,9.3,.222,0.8,4.1,.188,1.3,5.2,.250,1.8,2.1,.875,0.8,3.1,3.9,3.4,0.0,0.3,3.4,3.4,6.7
327,Jameer Nelson,PG,31,ORL,60,60,1960,4.8,12.3,.394,2.3,6.6,.355,2.5,5.7,.439,1.6,1.8,.869,0.4,3.3,3.7,7.6,0.8,0.1,2.6,2.4,13.6
328,Andrew Nicholson,PF,24,ORL,62,4,947,5.5,13.1,.420,0.9,3.0,.295,4.6,10.1,.457,1.4,1.8,.809,1.8,6.4,8.2,0.7,0.6,0.8,1.7,4.4,13.3
329,Joakim Noah,C,28,CHI,64,64,2209,4.9,10.0,.488,0.0,0.0,.000,4.9,9.9,.489,3.2,4.4,.728,3.7,8.0,11.8,5.2,1.2,1.6,2.4,3.1,12.9
330,Steve Novak,PF,30,TOR,41,1,421,3.9,9.7,.407,3.5,8.0,.436,0.4,1.6,.263,0.4,0.4,1.000,0.4,3.4,3.8,0.9,0.7,0.3,0.3,2.6,11.8
331,Dirk Nowitzki,PF,35,DAL,65,65,2091,8.7,17.6,.495,1.8,4.4,.402,7.0,13.2,.526,4.8,5.2,.917,0.6,6.2,6.7,3.0,1.0,0.6,1.5,2.3,24.0
332,James Nunnally,SF,23,ATL,4,0,54,4.0,12.0,.333,2.0,6.7,.300,2.0,5.3,.375,2.0,2.7,.750,0.7,4.7,5.3,1.3,0.7,0.7,2.7,1.3,12.0
333,Jermaine O'Neal,PF,35,GSW,34,8,662,4.8,9.7,.497,0.0,0.0,,4.8,9.7,.497,4.1,5.5,.745,3.5,6.2,9.7,0.8,0.7,1.7,2.2,4.4,13.8
334,Kyle O'Quinn,C,23,ORL,54,4,826,5.3,10.7,.496,0.0,0.1,.000,5.3,10.6,.500,1.6,2.2,.720,2.8,8.5,11.4,2.4,1.2,2.6,2.3,5.3,12.2
335,Greg Oden,C,26,MIA,18,2,150,4.6,8.2,.559,0.0,0.0,,4.6,8.2,.559,2.4,4.1,.588,4.1,5.5,9.6,0.2,1.0,1.7,2.4,9.4,11.5
336,Victor Oladipo,PG,21,ORL,65,37,2064,5.6,13.4,.415,1.0,3.2,.314,4.6,10.2,.448,3.6,4.6,.784,0.6,4.2,4.9,4.6,1.8,0.6,3.5,3.0,15.8
337,Kelly Olynyk,C,22,BOS,55,6,1053,5.4,12.3,.438,0.9,2.8,.321,4.5,9.6,.471,2.4,3.0,.798,3.9,5.4,9.3,3.0,1.0,0.8,2.8,6.1,14.1
338,Arinze Onuaku,PF,26,TOT,5,0,30,1.2,6.0,.200,0.0,0.0,,1.2,6.0,.200,1.2,2.4,.500,2.4,7.2,9.6,3.6,0.0,0.0,1.2,3.6,3.6
339,Daniel Orton,C,23,PHI,22,4,251,3.0,6.7,.447,0.0,0.0,,3.0,6.7,.447,3.3,4.3,.767,2.3,6.5,8.7,2.2,0.9,2.3,2.6,5.5,9.3
340,Travis Outlaw,SF,29,SAC,49,2,712,3.9,10.3,.379,1.3,3.6,.347,2.6,6.6,.397,1.6,1.8,.861,1.6,4.8,6.4,1.3,0.7,0.9,1.0,3.4,10.6
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
341,Zaza Pachulia,C,29,MIL,38,28,933,3.4,8.8,.380,0.0,0.0,.000,3.4,8.8,.382,3.4,3.9,.873,3.8,5.1,8.9,3.4,1.4,0.3,2.5,3.2,10.1
342,Jannero Pargo,PG,34,CHA,25,0,196,7.9,17.1,.462,3.5,8.6,.404,4.4,8.4,.522,1.5,2.0,.727,0.0,2.2,2.2,7.3,2.0,0.2,4.2,2.4,20.8
343,Tony Parker,PG,31,SAS,55,55,1667,8.2,16.4,.502,0.5,1.3,.387,7.7,15.1,.512,3.8,4.7,.799,0.3,2.3,2.6,7.3,0.6,0.2,2.8,1.6,20.8
344,Chandler Parsons,SF,25,HOU,60,60,2262,5.9,12.5,.475,1.6,4.4,.376,4.3,8.1,.528,2.0,2.7,.734,0.9,4.4,5.3,3.7,1.1,0.4,1.9,2.1,15.5
345,Patrick Patterson,PF,24,TOT,56,10,1326,5.5,11.7,.469,1.2,3.3,.372,4.3,8.4,.506,1.3,1.7,.734,2.8,5.4,8.2,1.8,1.3,0.8,1.5,3.7,13.5
346,Chris Paul,PG,28,LAC,49,49,1699,6.6,14.4,.461,1.0,3.1,.333,5.6,11.3,.495,4.9,5.7,.856,0.6,4.0,4.6,11.4,2.5,0.1,2.5,2.5,19.2
347,Nikola Pekovic,C,28,MIN,51,51,1608,8.1,15.2,.535,0.0,0.0,,8.1,15.2,.535,3.9,5.3,.742,4.5,5.7,10.3,1.1,0.6,0.5,1.7,2.8,20.2
348,Kendrick Perkins,C,29,OKC,54,54,1066,2.6,5.8,.442,0.0,0.1,.000,2.6,5.7,.447,1.1,2.0,.559,2.4,6.7,9.1,2.1,0.8,1.0,2.9,5.3,6.2
349,Paul Pierce,SF,36,BRK,59,52,1681,5.4,12.3,.437,1.8,4.9,.372,3.5,7.3,.481,4.5,5.4,.840,0.5,5.5,6.0,3.2,1.4,0.6,2.8,3.0,17.1
350,Dexter Pittman,C,25,ATL,2,0,3,0.0,12.0,.000,0.0,0.0,,0.0,12.0,.000,0.0,24.0,.000,36.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
351,Mason Plumlee,PF,23,BRK,52,10,845,5.3,8.4,.626,0.0,0.1,.000,5.3,8.4,.633,3.5,5.5,.623,2.5,5.5,8.1,1.0,1.4,1.7,1.8,5.3,14.0
352,Miles Plumlee,C,25,PHO,64,63,1637,5.3,10.5,.504,0.0,0.0,,5.3,10.5,.504,1.4,2.6,.547,3.5,8.0,11.5,0.7,0.9,1.8,2.0,3.5,12.0
353,Quincy Pondexter,SG,25,MEM,15,2,270,4.1,10.5,.392,1.5,4.5,.324,2.7,6.0,.444,2.8,3.5,.808,1.3,2.1,3.5,2.7,0.7,0.1,2.0,2.4,12.5
354,Otto Porter,SF,20,WAS,29,0,254,2.8,9.1,.313,0.3,1.8,.154,2.6,7.2,.353,0.7,1.1,.625,1.7,3.8,5.5,1.3,1.1,0.1,1.3,2.7,6.7
355,Phil Pressey,PG,22,BOS,62,7,854,2.2,7.8,.285,0.8,3.3,.256,1.4,4.6,.306,0.9,1.5,.629,0.5,2.7,3.2,7.0,2.1,0.2,2.6,3.2,6.2
356,A.J. Price,SG,27,MIN,28,0,99,6.9,16.7,.413,2.2,8.0,.273,4.7,8.7,.542,0.0,0.7,.000,0.4,3.3,3.6,4.7,0.4,0.0,2.5,1.8,16.0
357,Ronnie Price,SG,30,ORL,24,2,271,2.7,8.1,.328,0.8,3.9,.207,1.9,4.3,.438,0.4,0.7,.600,0.9,3.6,4.5,4.9,2.7,0.3,2.1,4.4,6.5
358,Pablo Prigioni,PG,36,NYK,51,26,1030,2.5,5.5,.459,1.9,4.1,.457,0.7,1.4,.463,0.3,0.3,.900,1.1,2.7,3.7,6.2,2.1,0.1,1.5,3.8,7.2
