TEAM,Y!,ESPN,CBS,FIRST_NAME,LAST_NAME,GP,MPG,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,PPG,OREB,DREB,TREB,AST,TO,AST/TO,STL,BLK,PF,DD,TD,TOTMIN,TOTFGM,TOTFGA,FG%,TOT3PM,TOT3PA,3P%,TOTFTM,TOTFTA,FT%,TOTPTS,TOTOR,TOTDR,TOTREB,TOTAST,TOTTO,TOTSTL,TOTBLK,TOTPF,Comments,Name
HOU,SG/SF,SG/SF,SF,Carlos,Delfino,72,21,2.72,6.8,40.00%,1.41,3.8,0.37,0.55,0.7,78.00%,7.4,0.3,2.7,3,1.5,1,1.5,1,0.15,1.5,0,0,1512,195.84,489.6,40.00%,101.23,273.6,0.37,39.312,50.4,78.00%,532.22,21.6,194.4,216,108,72,72,10.8,108,AVOID,Carlos Delfino
DEN,PF/C,PF/C,C,Kosta,Koufos,76,20,3.25,5.8,56.00%,0,0,0,0.88,1.4,63.00%,7.4,2.6,3.6,6.2,0.5,1,0.5,0.45,1.05,2.4,8,0,1520,246.85,440.8,56.00%,0,0,0,67.032,106.4,60.00%,560.73,197.6,273.6,471.2,38,76,34.2,79.8,182.4,,Kosta Koufos
MEM,PF/C,PF,PF,Darrell,Arthur,66,16,3.14,6.4,49.00%,0,0,0,1.11,1.4,79.00%,7.4,1.2,2.4,3.6,0.5,0.8,0.62,0.55,0.65,2.3,1,0,1056,206.98,422.4,49.00%,0,0,0,72.996,92.4,79.00%,486.95,79.2,158.4,237.6,33,52.8,36.3,42.9,151.8,AVOID,Darrell Arthur
LAL,SG,SG,SG,Jodie,Meeks,76,18,2.52,6,42.00%,1.6,3.8,0.42,0.72,0.8,90.00%,7.4,0.2,1.4,1.6,0.8,0.5,1.6,0.55,0.05,1,0,0,1368,191.52,456,42.00%,121.3,288.8,0.42,54.72,60.8,90.00%,559.06,15.2,106.4,121.6,60.8,38,41.8,3.8,76,,Jodie Meeks
DET,PF,PF,C,Andre,Drummond,75,22,3.24,6,54.00%,0,0,0,0.77,2.4,32.00%,7.2,2.8,3.6,6.4,0.6,1.2,0.5,0.75,2.15,3.6,6,0,1650,243,450,50.00%,0,0,0,57.6,180,30.00%,543.6,210,270,480,45,90,56.25,161.25,270,H2H,Andre Drummond
HOU,SF/PF,PF,C,Donatas,Motiejunas,74,18,2.58,6,43.00%,0.75,2.2,0.34,1.3,1.8,72.00%,7.2,1.2,3,4.2,0.4,1.4,0.29,0.5,0.5,2.5,1,0,1332,190.92,444,43.00%,55.352,162.8,0.34,95.904,133.2,72.00%,533.1,88.8,222,310.8,29.6,103.6,37,37,185,D-SLEEP,Donatas Motiejunas
NOR,PF/C,PF,PF,Jason,Smith,74,18,3.1,6.2,50.00%,0.06,0.2,0.29,0.94,1.3,72.00%,7.2,1.2,2.2,3.4,0.6,0.8,0.75,0.35,0.85,2.3,0,0,1332,229.4,458.8,50.00%,4.292,14.8,0.29,69.264,96.2,72.00%,532.36,88.8,162.8,251.6,44.4,59.2,25.9,62.9,170.2,,Jason Smith
HOU,SF,PF,PF,Royce,White,75,18,2.8,5.6,50.00%,0.07,0.2,0.33,1.48,2.8,53.00%,7.2,1.4,3.8,5.2,2.8,2.2,1.27,0.65,0.4,1.8,5,0,1350,210,420,50.00%,4.95,15,0.33,111.3,210,53.00%,536.25,105,285,390,210,165,48.75,30,135,D-SLEEP,Royce White
WAS,PF,PF,PF,Trevor,Booker,72,22,2.97,5.5,54.00%,0,0,0,1.09,1.7,64.00%,7,2,3,5,0.6,0.9,0.67,0.75,0.65,2.4,1,0,1584,213.84,396,54.00%,0,0,0,78.336,122.4,64.00%,506.02,144,216,360,43.2,64.8,54,46.8,172.8,,Trevor Booker
TOR,PF/C,PF/C,PF,Ed,Davis,75,25,2.91,5.6,52.00%,0,0,0,1.19,1.8,66.00%,7,2.2,4.5,6.7,1,1.1,0.91,0.65,1.05,2,10,0,1875,218.4,420,53.80%,0,0,0,89.1,135,66.00%,525.9,165,337.5,502.5,75,82.5,48.75,78.75,150,,Ed Davis
