TEAM,Y!,ESPN,CBS,FIRST_NAME,LAST_NAME,GP,MPG,FGM,FGA,FG%  ,3PM,3PA,3P%  ,FTM,FTA,FT%  ,PPG,OREB,DREB,TREB,AST,TO,AST/TO,STL,BLK,PF,DD,TD,TOTMIN,TOTFGM,TOTFGA,FG%  ,TOT3PM,TOT3PA,3P%  ,TOTFTM,TOTFTA,FT%  ,TOTPTS,TOTOR,TOTDR,TOTREB,TOTAST,TOTTO,TOTSTL,TOTBLK,TOTPF,Comments,Name
IND,PF,PF,PF,David,West,75,33.0,6.4,13.7,47.0%,0.1,0.3,24.0%,3.3,4.2,78.5%,16.25,1.9,5.9,7.8,2.8,2.2,1.27,0.90,0.90,2.5,15,0,2475,483,1028,47.0%,5,23,24.0%,247,315,78.5%,1219,143,443,585,210,165,68,68,188,,David West
OKC,"PF,C","PF,C",PF,Serge,Ibaka,77,34.0,6.6,12.5,53.0%,0.5,1.3,38.0%,2.4,3.1,78.0%,16.16,3.0,6.2,9.2,1.2,1.7,0.71,0.45,2.85,3.0,31,0,2618,510,963,53.0%,38,100,38.0%,186,239,78.0%,1244,231,477,708,92,131,35,219,231,,Serge Ibaka
DEN,PG,PG,PG,Ty,Lawson,72,35.0,5.1,11.6,44.0%,1.2,3.3,36.0%,4.8,6.1,78.0%,16.15,0.4,2.6,3.0,9.0,3.2,2.81,1.55,0.15,2.0,18,0,2520,367,835,44.0%,86,238,36.0%,343,439,78.0%,1163,29,187,216,648,230,112,11,144,,Ty Lawson
ORL,"PG,SG","PG,SG",SG,Victor,Oladipo,64,34.0,5.6,13.0,43.0%,1.2,3.5,35.0%,3.6,4.7,77.5%,16.05,0.6,3.8,4.4,4.2,3.2,1.31,1.75,0.50,2.7,8,1,2176,358,832,43.0%,78,224,35.0%,233,301,77.5%,1027,38,243,282,269,205,112,32,173,SS,Victor Oladipo
CLE,SG,SG,SG,Dion,Waiters,73,32.0,6.1,13.6,44.8%,1.5,4.2,36.8%,2.1,2.9,72.8%,15.84,0.3,2.3,2.6,2.8,2.1,1.33,1.00,0.25,2.6,1,0,2336,445,993,44.8%,113,307,36.8%,154,212,72.8%,1156,22,168,190,204,153,73,18,190,RS,Dion Waiters
BKN,PG,PG,PG,Deron,Williams,73,32.0,5.4,12.0,45.2%,1.7,4.6,37.0%,3.2,3.9,83.0%,15.79,0.3,2.5,2.8,7.0,2.4,2.92,1.20,0.15,2.4,6,0,2336,396,876,45.2%,124,336,37.0%,236,285,83.0%,1152,22,183,204,511,175,88,11,175,,Deron Williams
MEM,C,C,C,Marc,Gasol,75,34.0,6.2,12.7,48.5%,0.0,0.2,20.0%,3.4,4.4,77.5%,15.77,1.9,6.1,8.0,3.8,2.0,1.90,1.05,1.65,3.0,17,1,2550,462,953,48.5%,3,15,20.0%,256,330,77.5%,1183,143,458,600,285,150,79,124,225,BBB,Marc Gasol
PHO,"PF,C","PF,C",PF,Markieff,Morris,77,32.0,5.7,12.2,46.5%,0.7,2.2,34.0%,3.6,4.6,78.0%,15.68,2.1,5.2,7.3,2.0,2.3,0.87,1.05,0.90,3.5,19,0,2464,437,939,46.5%,58,169,34.0%,276,354,78.0%,1208,162,400,562,154,177,81,69,270,CYC,Markieff Morris
LAL,"SG,SF","SG,SF",SF,Nick,Young,62,28.0,5.5,12.6,43.5%,2.2,5.6,38.5%,2.5,3.0,82.0%,15.58,0.4,2.0,2.4,1.6,1.3,1.23,0.75,0.15,2.2,0,0,1736,340,781,43.5%,134,347,38.5%,153,186,82.0%,966,25,124,149,99,81,47,9,136,,Nick Young
POR,"SG,SF","SG,SF",SG,Wesley,Matthews,76,32.0,5.2,11.8,44.0%,2.4,6.0,39.6%,2.8,3.4,82.8%,15.58,0.5,2.7,3.2,2.3,1.3,1.77,1.05,0.15,2.2,1,0,2432,395,897,44.0%,181,456,39.6%,214,258,82.8%,1184,38,205,243,175,99,80,11,167,,Wesley Matthews
MIN,"SG,SF",SG,SG,Kevin,Martin,73,26.0,5.1,12.0,42.5%,1.7,4.5,38.0%,3.5,4.0,88.0%,15.43,0.3,2.1,2.4,1.8,1.4,1.29,0.75,0.05,1.8,0,0,1898,372,876,42.5%,125,329,38.0%,257,292,88.0%,1126,22,153,175,131,102,55,4,131,,Kevin Martin
DEN,"SG,SF","SG,SF",SG,Arron,Afflalo,74,32.0,5.5,12.0,46.0%,1.6,3.8,42.0%,2.8,3.4,82.0%,15.42,0.5,2.9,3.4,3.0,1.8,1.67,0.55,0.15,2.0,0,0,2368,408,888,46.0%,118,281,42.0%,206,252,82.0%,1141,37,215,252,222,133,41,11,148,,Arron Afflalo
ORL,"PF,C","PF,C",C,Nikola,Vucevic,75,32.0,6.7,12.8,52.5%,0.0,0.0,0.0%,2.0,2.6,75.5%,15.40,3.3,7.9,11.2,1.8,2.1,0.86,0.95,0.90,3.0,45,0,2400,504,960,52.5%,0,0,#DIV/0!,147,195,75.5%,1155,248,593,840,135,158,71,68,225,,Nikola Vucevic
MIL,"PG,SG","PG,SG",PG,Brandon,Knight,74,32.0,5.3,12.5,42.5%,1.5,4.4,34.5%,3.1,3.9,79.5%,15.24,0.6,2.6,3.2,5.8,3.2,1.81,1.05,0.15,2.2,4,0,2368,393,925,42.5%,112,326,34.5%,229,289,79.5%,1128,44,192,237,429,237,78,11,163,,Brandon Knight
BKN,"SG,SF","SG,SF",SF,Joe,Johnson,76,31.0,5.5,12.2,45.4%,2.1,5.2,39.8%,2.1,2.5,82.0%,15.20,0.6,3.2,3.8,3.0,1.5,2.00,0.70,0.10,1.5,1,0,2356,421,927,45.4%,157,395,39.8%,156,190,82.0%,1155,46,243,289,228,114,53,8,114,,Joe Johnson
NOR,"SG,SF","SG,SF",SF,Tyreke,Evans,73,32.0,5.7,12.4,46.0%,0.4,1.2,30.0%,3.3,4.3,76.0%,15.04,1.0,3.6,4.6,5.2,2.6,2.00,1.35,0.40,2.2,8,1,2336,416,905,46.0%,26,88,30.0%,239,314,76.0%,1098,73,263,336,380,190,99,29,161,,Tyreke Evans
PHI,PG,"PG,SG",SG,Tony,Wroten,76,28.0,5.5,12.6,43.6%,0.8,3.0,28.0%,3.2,4.8,66.8%,15.03,1.0,2.6,3.6,4.4,3.4,1.29,1.25,0.25,2.4,4,0,2128,418,958,43.6%,64,228,28.0%,244,365,66.8%,1143,76,198,274,334,258,95,19,182,BR,Tony Wroten
